disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
4631,2021-12-21 00:00:00+00:00,DR,Fire,WILDFIRES,10,Washington,Closed,2023-09-14T00:00:00.000Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,December 2021,2021
4443,2019-06-12 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",10,Idaho,Open,,,587428.76,0.0,24658.5,480533.0,0.0,0.0,65337.26,0.0,June 2019,2019
4730,2023-08-23 00:00:00+00:00,DR,Flood,FLOODING,10,Alaska,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2023,2023
4619,2021-09-12 00:00:00+00:00,DR,Fire,WILDFIRES,9,California,Open,,,4861157.93,0.0,668598.17,3226461.65,0.0,0.0,771069.01,38.0,September 2021,2021
4140,2013-08-02 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,1,Vermont,Closed,2019-08-12T00:00:00.000Z,,54218.73,0.0,38012.87,0.0,0.0,0.0,16205.86,0.0,August 2013,2013
4610,2021-08-24 00:00:00+00:00,DR,Fire,WILDFIRES,9,California,Open,,,4999851.8,253195.2,2577973.12,990396.0,0.0,0.0,1006407.54,41.0,August 2021,2021
5285,2019-07-27 00:00:00+00:00,FM,Fire,MILE POST 97 FIRE,10,Oregon,Closed,2023-12-19T00:00:00.000Z,,87039.89,0.0,0.0,74090.28,0.0,0.0,12949.61,0.0,July 2019,2019
4626,2021-10-22 00:00:00+00:00,DR,Hurricane,HURRICANE IDA,4,Mississippi,Open,,,4431131.41,179875.71,0.0,3940886.7,0.0,0.0,310369.0,1.0,October 2021,2021
4750,2023-11-21 00:00:00+00:00,DR,Hurricane,TROPICAL STORM HILARY,9,California,Open,,,170255.2,0.0,0.0,0.0,0.0,0.0,170255.2,0.0,November 2023,2023
4427,2019-04-17 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4,Tennessee,Open,,,3032012.5,100479.3,0.0,2424742.2,0.0,0.0,506791.0,0.0,April 2019,2019
4266,2016-03-19 00:00:00+00:00,DR,Flood,"SEVERE STORMS, TORNADOES, AND FLOODING",6,Texas,Open,,,4808395.86,184647.36,179952.0,4117454.5,0.0,0.0,326342.0,0.0,March 2016,2016
5306,2020-03-07 00:00:00+00:00,FM,Fire,412 FIRE COMPLEX,6,Oklahoma,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,March 2020,2020
4341,2017-09-27 00:00:00+00:00,DR,Hurricane,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,4,Florida,Open,,,130500.0,0.0,0.0,108750.0,0.0,0.0,14500.0,0.0,September 2017,2017
4263,2016-03-13 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,6,Louisiana,Open,,,13721518.06,390344.0,0.0,11913437.06,0.0,0.0,1417737.0,0.0,March 2016,2016
4566,2020-10-02 00:00:00+00:00,DR,Hurricane,TROPICAL STORM ISAIAS,3,Delaware,Open,,,734508.49,65816.0,0.0,468045.0,0.0,0.0,170244.99,0.0,October 2020,2020
4577,2021-01-12 00:00:00+00:00,DR,Hurricane,HURRICANE ZETA,6,Louisiana,Open,,,5927540.98,0.0,280057.5,4186586.88,0.0,0.0,1368044.0,18.0,January 2021,2021
5509,2024-07-16 00:00:00+00:00,FM,Fire,SPRING VALLEY FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2024,2024
4398,2018-10-01 00:00:00+00:00,DR,Typhoon,TYPHOON MANGKHUT,9,Guam,Open,,,1333445.43,57319.0,80247.0,989564.25,0.0,0.0,152852.0,0.0,October 2018,2018
5288,2019-08-18 00:00:00+00:00,FM,Fire,COPPER BREAKS FIRE,6,Texas,Open,,,520946.19,0.0,0.0,437023.54,0.0,0.0,58773.27,0.0,August 2019,2019
